name,description,category,type
LotFrontage, Linear feet of street connected to property,size,numeric
LotArea, Lot size in square feet,size,numeric
Street, Type of road access to property,property,category
LotShape, General shape of property,property,category
Utilities, Type of utilities available,utilities,category
LandSlope, Slope of property,property,category
OverallQual, Rates the overall material and finish of the house,quality,category
OverallCond, Rates the overall condition of the house,quality,category
YearBuilt, Original construction date,dates,numeric
YearRemodAdd, Remodel date (same as construction date if no remodeling or additions),dates,numeric
MasVnrArea, Masonry veneer area in square feet,quality,numeric
ExterQual, Evaluates the quality of the material on the exterior,quality,category
ExterCond, Evaluates the present condition of the material on the exterior,quality,category
BsmtQual, Evaluates the height of the basement,basement,category
BsmtExposure, Refers to walkout or garden level walls,other,category
BsmtFinType1, Rating of basement finished area,basement,category
BsmtFinSF1, Type 1 finished square feet,basement,numeric
BsmtFinType2, Rating of basement finished area (if multiple types),basement,category
BsmtFinSF2, Type 2 finished square feet,basement,numeric
BsmtUnfSF, Unfinished square feet of basement area,basement,numeric
TotalBsmtSF, Total square feet of basement area,basement,numeric
HeatingQC, Heating quality and condition,utilities,category
1stFlrSF, First Floor square feet,size,numeric
2ndFlrSF, Second floor square feet,size,numeric
LowQualFinSF, Low quality finished square feet (all floors),quality,numeric
GrLivArea, Above grade (ground) living area square feet,size,numeric
BsmtFullBath, Basement full bathrooms,basement,numeric
BsmtHalfBath, Basement half bathrooms,basement,numeric
FullBath, Full bathrooms above grade,size,numeric
HalfBath, Half baths above grade,size,numeric
BedroomAbvGr, Bedrooms above grade (does NOT include basement bedrooms),size,numeric
KitchenAbvGr, Kitchens above grade,size,numeric
KitchenQual, Kitchen quality,quality,category
TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),size,numeric
Functional, Home functionality (Assume typical unless deductions are warranted),other,category
Fireplaces, Number of fireplaces,other,numeric
FireplaceQu, Fireplace quality,other,category
GarageYrBlt, Year garage was built,garage,numeric
GarageCars, Size of garage in car capacity,garage,numeric
GarageArea, Size of garage in square feet,garage,numeric
GarageQual, Garage quality,garage,category
GarageCond, Garage condition,garage,category
PavedDrive, Paved driveway,garage,category
WoodDeckSF, Wood deck area in square feet,outdoor,numeric
OpenPorchSF, Open porch area in square feet,outdoor,numeric
EnclosedPorch, Enclosed porch area in square feet,outdoor,numeric
3SsnPorch, Three season porch area in square feet,outdoor,numeric
ScreenPorch, Screen porch area in square feet,outdoor,numeric
PoolArea, Pool area in square feet,outdoor,numeric
PoolQC, Pool quality,outdoor,category
MiscVal, $Value of miscellaneous feature,other,category
YrSold, Year Sold (YYYY),dates,numeric
MSSubClass_SC120,Type of dwelling involved in the sale. (1-STORY PUD (Planned Unit Development) - 1946 & NEWER),general,boolean
MSSubClass_SC160,Type of dwelling involved in the sale. (2-STORY PUD - 1946 & NEWER),general,boolean
MSSubClass_SC180,Type of dwelling involved in the sale. (PUD - MULTILEVEL - INCL SPLIT LEV/FOYER),general,boolean
MSSubClass_SC190,Type of dwelling involved in the sale. (2 FAMILY CONVERSION - ALL STYLES AND AGES),general,boolean
MSSubClass_SC20,Type of dwelling involved in the sale. (1-STORY 1946 & NEWER ALL STYLES),general,boolean
MSSubClass_SC30,Type of dwelling involved in the sale. (1-STORY 1945 & OLDER),general,boolean
MSSubClass_SC40,Type of dwelling involved in the sale. (1-STORY W/FINISHED ATTIC ALL AGES),general,boolean
MSSubClass_SC45,Type of dwelling involved in the sale. (1-1/2 STORY - UNFINISHED ALL AGES),general,boolean
MSSubClass_SC50,Type of dwelling involved in the sale. (1-1/2 STORY FINISHED ALL AGES),general,boolean
MSSubClass_SC60,Type of dwelling involved in the sale. (2-STORY 1946 & NEWER),general,boolean
MSSubClass_SC70,Type of dwelling involved in the sale. (2-STORY 1945 & OLDER),general,boolean
MSSubClass_SC75,Type of dwelling involved in the sale. (2-1/2 STORY ALL AGES),general,boolean
MSSubClass_SC80,Type of dwelling involved in the sale. (SPLIT OR MULTI-LEVEL),general,boolean
MSSubClass_SC85,Type of dwelling involved in the sale. (SPLIT FOYER),general,boolean
MSSubClass_SC90,Type of dwelling involved in the sale. (DUPLEX - ALL STYLES AND AGES),general,boolean
MSZoning_C (all),General zoning classification of the sale. (C (all)),general,boolean
MSZoning_FV,General zoning classification of the sale. (Floating Village Residential),general,boolean
MSZoning_RH,General zoning classification of the sale. (Residential High Density),general,boolean
MSZoning_RL,General zoning classification of the sale. (Residential Low Density),general,boolean
MSZoning_RM,General zoning classification of the sale. (Residential Medium Density),general,boolean
Alley_1, Type of alley access to property (1),property,boolean
Alley_2, Type of alley access to property (2),property,boolean
Alley_None, Type of alley access to property (None),property,boolean
LandContour_Bnk, Flatness of the property (Banked - Quick and significant rise from street grade to building),property,boolean
LandContour_HLS, Flatness of the property (Hillside - Significant slope from side to side),property,boolean
LandContour_Low, Flatness of the property (Depression),property,boolean
LandContour_Lvl, Flatness of the property (Near Flat/Level),property,boolean
LotConfig_Corner, Lot configuration (Corner lot),property,boolean
LotConfig_CulDSac, Lot configuration (Cul-de-sac),property,boolean
LotConfig_FR2, Lot configuration (Frontage on 2 sides of property),property,boolean
LotConfig_FR3, Lot configuration (Frontage on 3 sides of property),property,boolean
LotConfig_Inside, Lot configuration (Inside lot),property,boolean
Neighborhood_Blmngtn, Physical locations within Ames city limits (Bloomington Heights),location,boolean
Neighborhood_Blueste, Physical locations within Ames city limits (Bluestem),location,boolean
Neighborhood_BrDale, Physical locations within Ames city limits (Briardale),location,boolean
Neighborhood_BrkSide, Physical locations within Ames city limits (Brookside),location,boolean
Neighborhood_ClearCr, Physical locations within Ames city limits (Clear Creek),location,boolean
Neighborhood_CollgCr, Physical locations within Ames city limits (College Creek),location,boolean
Neighborhood_Crawfor, Physical locations within Ames city limits (Crawford),location,boolean
Neighborhood_Edwards, Physical locations within Ames city limits (Edwards),location,boolean
Neighborhood_Gilbert, Physical locations within Ames city limits (Gilbert),location,boolean
Neighborhood_IDOTRR, Physical locations within Ames city limits (Iowa DOT and Rail Road),location,boolean
Neighborhood_MeadowV, Physical locations within Ames city limits (Meadow Village),location,boolean
Neighborhood_Mitchel, Physical locations within Ames city limits (Mitchell),location,boolean
Neighborhood_NAmes, Physical locations within Ames city limits (North Ames),location,boolean
Neighborhood_NPkVill, Physical locations within Ames city limits (Northpark Villa),location,boolean
Neighborhood_NWAmes, Physical locations within Ames city limits (Northwest Ames),location,boolean
Neighborhood_NoRidge, Physical locations within Ames city limits (Northridge),location,boolean
Neighborhood_NridgHt, Physical locations within Ames city limits (Northridge Heights),location,boolean
Neighborhood_OldTown, Physical locations within Ames city limits (Old Town),location,boolean
Neighborhood_SWISU, Physical locations within Ames city limits (South & West of Iowa State University),location,boolean
Neighborhood_Sawyer, Physical locations within Ames city limits (Sawyer),location,boolean
Neighborhood_SawyerW, Physical locations within Ames city limits (Sawyer West),location,boolean
Neighborhood_Somerst, Physical locations within Ames city limits (Somerset),location,boolean
Neighborhood_StoneBr, Physical locations within Ames city limits (Stone Brook),location,boolean
Neighborhood_Timber, Physical locations within Ames city limits (Timberland),location,boolean
Neighborhood_Veenker, Physical locations within Ames city limits (Veenker),location,boolean
Condition1_Artery, Proximity to various conditions (Adjacent to arterial street),location,boolean
Condition1_Feedr, Proximity to various conditions (Adjacent to feeder street),location,boolean
Condition1_Norm, Proximity to various conditions (Normal),location,boolean
Condition1_PosA, Proximity to various conditions (Adjacent to postive off-site feature),location,boolean
Condition1_PosN," Proximity to various conditions (Near positive off-site feature--park, greenbelt, etc.)",location,boolean
Condition1_RRAe, Proximity to various conditions (Adjacent to East-West Railroad),location,boolean
Condition1_RRAn, Proximity to various conditions (Adjacent to North-South Railroad),location,boolean
Condition1_RRNe, Proximity to various conditions (Within 200' of East-West Railroad),location,boolean
Condition1_RRNn, Proximity to various conditions (Within 200' of North-South Railroad),location,boolean
Condition2_Artery, Proximity to various conditions (if more than one is present) (Adjacent to arterial street),location,boolean
Condition2_Feedr, Proximity to various conditions (if more than one is present) (Adjacent to feeder street),location,boolean
Condition2_Norm, Proximity to various conditions (if more than one is present) (Normal),location,boolean
Condition2_PosA, Proximity to various conditions (if more than one is present) (Adjacent to postive off-site feature),location,boolean
Condition2_PosN," Proximity to various conditions (if more than one is present) (Near positive off-site feature--park, greenbelt, etc.)",location,boolean
Condition2_RRAe, Proximity to various conditions (if more than one is present) (Adjacent to East-West Railroad),location,boolean
Condition2_RRAn, Proximity to various conditions (if more than one is present) (Adjacent to North-South Railroad),location,boolean
Condition2_RRNn, Proximity to various conditions (if more than one is present) (Within 200' of North-South Railroad),location,boolean
FinalBid,Final bid price placed on house before accepted sale,general,numeric
BldgType_1Fam, Type of dwelling (Single-family Detached),general,boolean
BldgType_2fmCon, Type of dwelling (2fmCon),general,boolean
BldgType_Duplex, Type of dwelling (Duplex),general,boolean
BldgType_Twnhs, Type of dwelling (Twnhs),general,boolean
BldgType_TwnhsE, Type of dwelling (Townhouse End Unit),general,boolean
HouseStyle_1.5Fin, Style of dwelling (One and one-half story: 2nd level finished),general,boolean
HouseStyle_1.5Unf, Style of dwelling (One and one-half story: 2nd level unfinished),general,boolean
HouseStyle_1Story, Style of dwelling (One story),general,boolean
HouseStyle_2.5Fin, Style of dwelling (Two and one-half story: 2nd level finished),general,boolean
HouseStyle_2.5Unf, Style of dwelling (Two and one-half story: 2nd level unfinished),general,boolean
HouseStyle_2Story, Style of dwelling (Two story),general,boolean
HouseStyle_SFoyer, Style of dwelling (Split Foyer),general,boolean
HouseStyle_SLvl, Style of dwelling (Split Level),general,boolean
RoofStyle_Flat, Type of roof (Flat),general,boolean
RoofStyle_Gable, Type of roof (Gable),general,boolean
RoofStyle_Gambrel, Type of roof (Gabrel (Barn)),general,boolean
RoofStyle_Hip, Type of roof (Hip),general,boolean
RoofStyle_Mansard, Type of roof (Mansard),general,boolean
RoofStyle_Shed, Type of roof (Shed),general,boolean
RoofMatl_CompShg, Roof material (Standard (Composite) Shingle),general,boolean
RoofMatl_Membran, Roof material (Membrane),general,boolean
RoofMatl_Metal, Roof material (Metal),general,boolean
RoofMatl_Roll, Roof material (Roll),general,boolean
RoofMatl_Tar&Grv, Roof material (Gravel & Tar),general,boolean
RoofMatl_WdShake, Roof material (Wood Shakes),general,boolean
RoofMatl_WdShngl, Roof material (Wood Shingles),general,boolean
Exterior1st_AsbShng, Exterior covering on house (Asbestos Shingles),general,boolean
