LotFrontage,LotArea,Street,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,FinalBid,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,YrSold,MSSubClass,MSZoning,Alley,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,GarageFinish,Fence,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice
107.0,13891,2,4,4,3,1,5,2006,2006,0.0,5,3,5,488067.6091874576,4,3,6,1386,1,0,690,2076,5,2076,0,0,2076,1,0,2,1,2,1,5,7,8,1,4,2006.0,3,850,3,3,2,216,229,0,0,0,0,0,0,2006,SC20,RL,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,No,No,Sep,New,Partial,465000
50.0,6060,2,4,4,3,7,5,1939,1950,0.0,3,3,3,86951.88694503758,3,0,1,0,1,0,732,732,4,772,351,0,1123,0,0,1,0,3,1,3,4,8,0,0,1979.0,1,264,3,3,1,0,0,140,0,0,0,0,0,2007,SC50,RM,None,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,None,PConc,GasA,Y,SBrkr,Detchd,Unf,MnPrv,No,Jun,WD,Normal,100000
60.0,6000,2,4,4,3,5,6,1941,1950,0.0,3,4,3,136376.81845140117,4,0,5,375,1,0,360,735,5,869,349,0,1218,0,1,1,0,3,1,3,6,8,1,4,2003.0,2,440,3,3,2,0,0,0,0,0,0,0,0,2007,SC50,RM,None,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Unf,No,No,Mar,WD,Normal,131000
70.0,7728,2,4,4,3,6,6,1962,1962,120.0,3,3,3,154484.35277574416,3,2,5,803,1,0,303,1106,3,1190,0,0,1190,1,0,1,0,3,1,3,6,8,0,0,1962.0,2,540,3,3,2,0,18,0,0,0,0,0,0,2006,SC90,RL,None,Lvl,Inside,NAmes,Norm,Norm,Duplex,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Unf,GdWo,No,May,WD,Normal,132500
80.0,10480,2,4,4,3,4,6,1976,1976,660.0,3,3,3,171457.85452521607,3,0,5,403,1,0,400,803,3,1098,866,0,1964,0,0,2,1,4,1,3,8,8,1,4,1976.0,2,483,3,3,2,0,69,0,0,0,0,0,0,2008,SC60,RL,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,No,No,Sep,WD,Normal,205000
70.0,8163,2,4,4,3,6,6,1959,1959,128.0,3,4,3,174756.51003944592,3,2,5,748,4,294,102,1144,3,1144,0,0,1144,1,0,1,0,3,1,3,6,8,1,3,1959.0,1,796,3,3,2,86,0,0,0,0,0,0,0,2006,SC80,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,No,No,Mar,WD,Normal,143000
21.0,1890,2,4,4,3,5,5,1973,1973,285.0,3,3,3,80023.29203349729,3,0,4,356,1,0,316,672,3,672,546,0,1218,0,0,1,1,3,1,3,7,8,0,0,1973.0,1,264,3,3,2,144,28,0,0,0,0,0,0,2007,SC160,RM,None,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Detchd,Unf,No,No,May,WD,Normal,113000
21.0,1533,2,4,4,3,6,7,1970,1970,0.0,3,3,4,89941.34325855735,3,2,6,553,1,0,77,630,5,630,0,0,630,1,0,1,0,1,1,5,3,8,0,0,1980.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2006,SC180,RM,None,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,Y,SBrkr,No,No,No,No,Aug,WD,Abnorml,92000
65.0,8450,2,4,4,3,4,5,2003,2003,0.0,4,3,4,205697.73838933918,3,1,6,699,1,0,638,1337,5,1337,0,0,1337,1,0,2,0,3,1,4,6,8,0,0,2003.0,2,531,3,3,2,0,39,0,0,0,0,0,0,2007,SC20,RL,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,No,No,Oct,WD,Normal,185000
70.0,7931,2,4,4,3,6,5,1959,1959,0.0,3,3,3,158978.60998235954,3,0,4,1148,1,0,0,1148,3,1148,0,0,1148,1,0,1,0,3,1,3,6,8,0,0,1959.0,1,672,3,3,2,0,0,0,0,0,0,0,0,2009,SC20,RL,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,GdPrv,No,Jul,WD,Normal,132500
