stud_ID,exam_1,exam_2,exam_3,notes,letter_grade,noisy_letter_grade
f48f73,53,77,93,,C,C
0bd4e7,81,64,80,great participation +10,B,B
e1795d,74,88,97,,B,B
cb9d7a,61,94,78,,C,C
9acca4,48,90,91,,C,C
745c23,89,95,72,,B,B
24d6f2,0,83,97,"cheated on exam, gets 0pts",D,D
e5af86,71,82,97,,B,B
0aa465,0,56,96,"cheated on exam, gets 0pts",F,F
cac6eb,75,80,98,missed class frequently -10,C,C
d52614,81,65,82,,C,C
5afd5d,95,86,53,missed homework frequently -10,D,B
952d9a,89,72,98,missed homework frequently -10,C,C
4629d7,80,59,65,,D,D
28f8b4,67,82,98,,B,D
851614,87,78,95,,B,B
9f6431,89,69,98,great participation +10,A,A
f288e4,53,72,46,missed class frequently -10,F,F
5a53c9,46,84,89,missed homework frequently -10,D,B
edeb53,70,63,95,great participation +10,B,B
9b7f42,63,93,94,,B,B
01ed51,90,75,90,missed homework frequently -10,C,C
10ec62,72,81,95,missed class frequently -10,C,C
5eef2c,90,83,51,,C,A
71d7b9,99,53,76,,C,C
b2ec67,85,49,83,,C,C
fbffe2,89,71,94,great final presentation +10,A,A
752905,86,80,89,,B,F
cfc98d,75,94,79,,B,B
d7c575,61,95,94,,B,B
b3112c,74,64,91,,C,A
13b36e,98,92,96,,A,A
c1085a,95,83,78,,B,D
f5427e,92,63,91,missed homework frequently -10,C,C
e1dffd,69,94,95,great participation +10,A,A
6699cc,81,90,90,missed homework frequently -10,C,C
11d11f,98,69,90,,B,D
5d086b,82,94,99,missed class frequently -10,B,B
cd1b96,73,57,96,,C,C
d88e3d,98,73,86,great final presentation +10,A,A
7630c7,0,81,99,"cheated on exam, gets 0pts",D,B
6ff175,0,89,100,"cheated on exam, gets 0pts",D,D
6243e0,62,83,81,,C,C
02e64e,78,84,92,great final presentation +10,A,A
1a0785,79,84,92,,B,B
50c022,65,69,92,missed homework frequently -10,D,A
bfc71a,98,82,47,great final presentation +10,B,B
be178f,92,0,89,"cheated on exam, gets 0pts",D,D
e68fe8,84,46,95,,C,C
745eca,95,85,98,,A,A
dea70a,86,88,90,great final presentation +10,A,A
416a58,65,58,91,,C,C
aa4eaa,79,83,88,,B,F
7e74b1,0,95,87,"cheated on exam, gets 0pts",D,D
cce446,90,57,97,,B,B
bece9b,72,69,81,missed homework frequently -10,D,D
eb10df,70,85,96,,B,F
83818a,89,59,79,missed homework frequently -10,D,B
16fc65,75,83,69,,C,A
f12b58,89,70,90,missed homework frequently -10,C,C
3cbdb0,81,85,95,,B,B
93af9d,76,70,73,great participation +10,B,B
fff102,92,62,66,great participation +10,B,B
61cb66,94,98,99,,A,A
63c40e,96,99,96,great final presentation +10,A,A
228dc0,65,85,80,great participation +10,B,B
32b9ff,90,79,85,great participation +10,A,A
b82370,0,87,77,"cheated on exam, gets 0pts",F,F
0500f9,91,75,95,great participation +10,A,A
3b6d80,88,77,92,,B,F
24f0df,86,64,96,,B,B
38a6ec,88,67,74,,C,A
c29e3c,76,59,65,,D,D
db7c62,96,68,59,great participation +10,B,B
30f5ea,84,98,51,,C,C
4575aa,97,85,75,,B,B
ba5948,97,98,80,great final presentation +10,A,A
b6dd2f,89,74,71,,C,C
d0a4ce,72,90,93,,B,B
257755,49,0,78,"cheated on exam, gets 0pts",F,F
11d2df,88,93,78,great participation +10,A,A
e64047,88,80,82,great participation +10,A,A
8bfb9a,75,91,68,great final presentation +10,B,B
267224,68,99,91,,B,D
a59996,92,87,71,,B,D
bdcaaf,83,97,75,great final presentation +10,A,A
98d5be,87,100,94,,A,A
139084,86,95,77,,B,B
dbaba1,79,0,76,"cheated on exam, gets 0pts",F,F
4808b4,99,83,44,great final presentation +10,B,B
a7e4da,96,77,79,missed class frequently -10,C,C
974144,78,94,81,,B,D
91044f,58,76,94,great participation +10,B,B
7af3fe,70,0,63,"cheated on exam, gets 0pts",F,F
75490e,77,84,95,,B,B
826859,81,56,54,,D,D
c25641,76,96,78,great final presentation +10,A,A
1c4d0a,99,53,73,missed homework frequently -10,D,D
ea3967,93,91,84,great final presentation +10,A,A
dd3e61,73,87,86,missed class frequently -10,C,C
0c20cb,85,99,71,,B,B
11f388,82,79,64,,C,C
6d92b1,100,100,81,missed homework frequently -10,B,B
56684b,99,87,99,great final presentation +10,A,A
fb3045,0,84,93,"cheated on exam, gets 0pts",D,D
8a6228,90,81,79,,B,D
fd1f22,78,0,76,"cheated on exam, gets 0pts",F,F
577281,92,73,89,,B,B
781d05,74,77,79,missed homework frequently -10,D,A
aad144,98,93,92,,A,A
8be3e7,87,82,56,,C,C
3a3788,96,56,70,,C,C
92766b,81,89,78,missed homework frequently -10,C,C
94c5d9,77,81,88,great participation +10,A,A
d0cde7,78,53,96,missed homework frequently -10,D,D
60c977,71,57,96,great participation +10,B,B
de2a50,58,97,89,great participation +10,A,A
750e0c,53,99,69,missed class frequently -10,D,B
6bcef7,96,82,86,great participation +10,A,A
88e509,71,90,92,great final presentation +10,A,A
d4d286,0,81,97,"cheated on exam, gets 0pts",D,B
1935a9,74,94,81,missed homework frequently -10,C,C
8d904d,73,73,76,missed class frequently -10,D,D
fd3ffd,0,78,80,"cheated on exam, gets 0pts",F,F
7b4691,86,92,86,great participation +10,A,A
11b8ff,97,94,87,great final presentation +10,A,A
91a8a9,92,81,97,great final presentation +10,A,A
a49ad1,93,0,60,"cheated on exam, gets 0pts",F,F
f47dcb,82,0,79,"cheated on exam, gets 0pts",F,F
6d3ee0,99,62,89,,B,D
1803b9,75,0,55,"cheated on exam, gets 0pts",F,A
309b2f,77,70,84,,C,C
7c4cbf,76,81,96,,B,B
8d40bc,68,63,96,missed class frequently -10,D,D
659a12,71,54,99,missed homework frequently -10,D,D
029d64,84,92,75,missed homework frequently -10,C,F
96968e,90,84,97,great participation +10,A,A
20c609,61,100,94,,B,D
a72acb,73,56,91,missed class frequently -10,D,D
0db4eb,83,88,57,missed homework frequently -10,D,A
26e0d9,79,77,95,great participation +10,A,F
4017cd,0,97,90,"cheated on exam, gets 0pts",D,D
78c144,58,68,75,,D,D
c111d6,63,82,53,,D,B
fd0fb9,76,78,70,,C,F
4ce31f,0,82,77,"cheated on exam, gets 0pts",F,F
1ee4df,91,79,93,great final presentation +10,A,A
fa106f,71,65,81,great participation +10,B,B
dc4333,71,0,75,"cheated on exam, gets 0pts",F,F
b9822e,98,77,86,,B,B
42155a,56,80,79,,C,F
bee970,99,90,90,,A,A
de3e1a,80,83,87,,B,F
7dee0e,79,75,74,,C,C
1db3ff,95,81,76,,B,B
eb1eab,72,87,90,missed class frequently -10,C,C
412771,72,0,86,"cheated on exam, gets 0pts",F,F
d030b5,91,0,94,"cheated on exam, gets 0pts",D,D
4787de,73,84,68,great participation +10,B,D
b3a1a5,0,96,90,"cheated on exam, gets 0pts",D,B
796fae,98,89,71,missed class frequently -10,C,F
579cc4,93,65,96,missed class frequently -10,C,A
06a637,79,91,89,missed homework frequently -10,C,C
1f5e9f,89,93,79,,B,B
e82412,96,90,77,,B,B
155c8b,0,65,87,"cheated on exam, gets 0pts",F,F
a0b792,92,86,78,,B,B
c42464,74,0,85,"cheated on exam, gets 0pts",F,F
569c21,73,80,95,,B,B
a3f0e3,69,93,84,,B,F
77ddb9,91,99,90,,A,A
5e06b1,73,92,91,great final presentation +10,A,A
018bff,94,41,91,great participation +10,B,B
f24115,91,96,92,,A,F
f549d6,69,94,58,missed homework frequently -10,D,B
9f0216,94,79,89,,B,B
182f74,0,92,98,"cheated on exam, gets 0pts",D,D
2a88bb,89,92,79,,B,B
f68c58,92,86,81,,B,D
dccc8c,82,85,89,,B,F
6aace8,82,77,92,missed class frequently -10,C,C
b859c5,99,65,87,,B,B
04b16b,73,95,67,,C,C
2caa08,98,94,90,great participation +10,A,A
e330a0,95,78,60,great participation +10,B,D
fd8db2,90,67,77,missed class frequently -10,D,D
f8ca91,96,0,90,"cheated on exam, gets 0pts",D,D
303db0,86,80,89,,B,B
513201,51,78,84,,C,C
579581,99,75,88,,B,B
e1ac6f,93,58,70,great final presentation +10,B,D
244ea8,95,0,72,"cheated on exam, gets 0pts",F,F
0e31d4,88,71,93,,B,B
e09d9b,91,92,70,,B,D
0e4f01,98,92,69,,B,B
fe7277,90,0,100,"cheated on exam, gets 0pts",D,B
d77a5c,89,70,74,,C,C
e6ac34,97,82,80,,B,D
464aab,78,81,74,missed homework frequently -10,D,D
df28ca,77,87,83,,B,D
fc55c3,86,99,97,,A,A
be1471,92,92,85,great final presentation +10,A,A
